geography,subsector
26035,mining
26037,mining
26039,construction
26039,mining
26041,construction
26041,mining
26047,construction
26047,mining
26051,construction
26051,mining
26053,construction
26055,mining
26057,construction
26057,mining
26059,construction
26059,mining
26061,construction
26063,mining
26067,construction
26067,mining
26069,construction
26071,construction
26073,mining
26077,mining
26079,construction
26079,mining
26083,construction
26085,mining
26087,mining
26089,construction
26089,mining
26091,mining
26093,mining
26095,construction
26095,mining
26097,construction
26097,mining
26099,mining
26101,construction
26105,construction
26105,mining
26107,mining
26109,construction
26109,mining
26113,construction
26113,mining
26115,mining
26117,construction
26117,mining
26119,construction
26119,mining
26121,mining
26123,mining
26125,mining
26127,construction
26127,mining
26129,construction
26129,mining
26131,construction
26133,construction
26133,mining
26135,construction
26135,mining
26137,construction
26137,mining
26141,construction
26141,mining
26143,construction
26143,mining
26147,mining
26149,mining
26151,construction
26151,mining
26153,construction
26153,mining
26159,mining
26161,mining
26163,mining
26165,mining
27001,construction
27001,mining
27003,mining
27005,mining
27007,mining
27009,construction
27009,mining
27011,construction
27013,mining
27015,mining
27017,mining
27019,mining
27021,construction
27021,mining
27023,mining
27025,construction
27025,mining
27027,mining
27029,construction
27029,mining
27031,construction
27031,mining
27033,construction
27033,mining
27039,construction
27039,mining
27041,mining
27043,construction
27043,mining
27045,construction
27045,mining
27047,construction
27047,mining
27049,mining
27051,construction
27051,mining
27053,mining
27055,mining
27057,construction
27057,mining
27059,construction
27059,mining
27061,construction
27063,construction
27063,mining
27065,construction
27065,mining
27069,construction
27069,mining
27071,construction
27073,construction
27073,mining
27075,construction
27075,mining
27077,construction
27077,mining
27079,mining
27081,construction
27081,mining
27083,construction
27083,mining
27085,mining
27087,construction
27087,mining
27089,construction
27089,mining
27091,construction
27091,mining
27093,construction
27093,mining
27095,construction
27095,mining
27097,construction
27097,mining
27099,mining
27101,construction
27101,mining
27103,construction
27103,mining
27105,construction
27105,mining
27107,construction
27107,mining
27109,mining
27111,construction
27111,mining
27113,construction
27113,mining
27115,construction
27115,mining
27117,construction
27117,mining
27119,construction
27119,mining
27121,construction
27121,mining
27123,mining
27125,construction
27125,mining
27127,construction
27127,mining
27129,construction
27129,mining
27131,mining
27133,construction
27133,mining
27135,construction
27135,mining
27139,mining
27141,mining
27143,construction
27143,mining
27145,mining
27147,mining
27149,construction
27149,mining
27151,construction
27151,mining
27153,construction
27153,mining
27155,construction
27155,mining
27157,construction
27157,mining
27159,mining
27161,mining
27163,mining
27165,mining
27167,construction
27167,mining
27169,mining
27171,mining
27173,construction
27173,mining
28001,construction
28001,mining
28003,construction
28003,mining
28005,construction
28005,mining
28007,construction
28007,mining
28011,construction
28011,mining
28013,construction
28015,construction
28015,mining
28017,mining
28019,construction
28019,mining
28021,construction
28021,mining
28023,construction
28023,mining
28025,construction
